========= NEW RUN
This graph contains 8297 nodes connected by 103689 edges
Set constant probability: 0.01
influence of node 2: 2
influence of node 5: 1
influence of node 7: 4
influence of node 9: 3
influence of node 10: 19
influence of node 11: 11
influence of node 20: 4
influence of node 22: 1
influence of node 23: 11
influence of node 25: 1
influence of node 26: 2
influence of node 27: 2
influence of node 28: 2
influence of node 35: 2
influence of node 43: 1
influence of node 50: 2
influence of node 54: 1
influence of node 57: 2
influence of node 67: 3
influence of node 70: 4
influence of node 71: 1
influence of node 73: 3
influence of node 76: 1
influence of node 79: 1
influence of node 85: 1
influence of node 93: 1
influence of node 102: 1
influence of node 103: 1
influence of node 109: 3
influence of node 112: 3
influence of node 121: 12
influence of node 126: 4
influence of node 127: 4
influence of node 135: 2
influence of node 137: 3
influence of node 144: 1
influence of node 149: 1
influence of node 150: 1
influence of node 153: 1
influence of node 160: 1
influence of node 170: 2
influence of node 171: 1
influence of node 172: 5
influence of node 175: 1
influence of node 208: 1
influence of node 214: 7
influence of node 230: 1
influence of node 258: 7
influence of node 279: 1
influence of node 283: 1
influence of node 289: 1
influence of node 303: 2
influence of node 305: 4
influence of node 307: 4
influence of node 309: 5
influence of node 310: 13
influence of node 311: 8
influence of node 318: 2
influence of node 324: 1
influence of node 333: 1
influence of node 338: 2
influence of node 345: 2
influence of node 347: 1
influence of node 370: 1
influence of node 371: 1
influence of node 409: 1
influence of node 411: 1
influence of node 425: 2
influence of node 431: 13
influence of node 444: 1
influence of node 456: 23
influence of node 464: 1
influence of node 544: 1
influence of node 545: 1
influence of node 555: 2
influence of node 574: 2
influence of node 579: 1
influence of node 599: 21
influence of node 613: 1
influence of node 632: 4
influence of node 633: 6
influence of node 658: 1
influence of node 685: 1
influence of node 688: 1
influence of node 703: 1
influence of node 704: 1
influence of node 706: 4
influence of node 707: 3
influence of node 711: 2
influence of node 721: 3
influence of node 726: 3
influence of node 731: 1
influence of node 734: 1
influence of node 736: 10
influence of node 741: 1
influence of node 751: 1
influence of node 758: 1
influence of node 765: 6
influence of node 768: 5
influence of node 783: 7
influence of node 787: 4
influence of node 788: 19
influence of node 794: 2
influence of node 797: 1
influence of node 801: 1
influence of node 804: 5
influence of node 811: 1
influence of node 812: 5
influence of node 821: 1
influence of node 824: 2
influence of node 825: 1
influence of node 829: 1
influence of node 840: 2
influence of node 853: 1
influence of node 855: 1
influence of node 860: 1
influence of node 864: 1
influence of node 871: 1
influence of node 878: 4
influence of node 895: 2
influence of node 898: 1
influence of node 903: 2
influence of node 906: 1
influence of node 911: 2
influence of node 921: 2
influence of node 927: 1
influence of node 940: 1
influence of node 945: 1
influence of node 946: 1
influence of node 953: 1
influence of node 955: 1
influence of node 959: 3
influence of node 974: 1
influence of node 980: 1
influence of node 985: 1
influence of node 987: 4
influence of node 992: 2
influence of node 995: 13
influence of node 997: 1
influence of node 1021: 2
========= GPU ELAPSED TIME: 128.266464 ms

========= NEW RUN
This graph contains 8297 nodes connected by 103689 edges
Set constant probability: 0.10
influence of node 2: 1310
influence of node 3: 1
influence of node 4: 1057
influence of node 5: 1000
influence of node 6: 6
influence of node 7: 916
influence of node 8: 892
influence of node 9: 824
influence of node 10: 845
influence of node 11: 798
influence of node 12: 847
influence of node 13: 815
influence of node 14: 778
influence of node 15: 826
influence of node 16: 841
influence of node 17: 4
influence of node 18: 889
influence of node 19: 794
influence of node 20: 801
influence of node 22: 848
influence of node 23: 883
influence of node 24: 853
influence of node 25: 919
influence of node 26: 915
influence of node 27: 1027
influence of node 28: 1099
influence of node 32: 1183
influence of node 34: 6
influence of node 35: 1204
influence of node 36: 1223
influence of node 38: 1164
influence of node 39: 2
influence of node 40: 3
influence of node 41: 1076
influence of node 42: 1
influence of node 43: 1143
influence of node 44: 1
influence of node 45: 1155
influence of node 46: 1161
influence of node 47: 2
influence of node 50: 1190
influence of node 52: 1176
influence of node 53: 1
influence of node 54: 1170
influence of node 55: 1091
influence of node 57: 3
influence of node 58: 1094
influence of node 59: 1214
influence of node 63: 1314
influence of node 65: 2
influence of node 66: 4
influence of node 67: 1310
influence of node 70: 1205
influence of node 71: 1090
influence of node 73: 1057
influence of node 74: 950
influence of node 76: 3
influence of node 77: 1211
influence of node 78: 1185
influence of node 79: 1132
influence of node 80: 1
influence of node 82: 6
influence of node 85: 1197
influence of node 86: 1199
influence of node 88: 1197
influence of node 89: 1254
