thread nodes time
1280 1693 487.237915
1281 1670 487.237915
1282 0 487.237915
1283 1673 487.237915
1284 1641 487.237915
1285 0 487.237915
1286 3315 487.237915
1287 1640 487.237915
1288 1661 487.237915
1289 1635 487.237915
1290 0 487.237915
1291 1665 487.237915
1292 3 487.237915
1293 1572 487.237915
1294 1619 487.237915
1295 1 487.237915
1328 1632 487.237915
1329 1660 487.237915
1330 0 487.237915
1331 3 487.237915
1332 1643 487.237915
1333 0 487.237915
1334 0 487.237915
1335 1668 487.237915
1336 0 487.237915
1337 1701 487.237915
1338 0 487.237915
1339 0 487.237915
1340 0 487.237915
1341 0 487.237915
1342 1621 487.237915
1343 1635 487.237915
2048 1657 487.549835
2049 3 487.549835
2050 0 487.549835
2051 0 487.549835
2052 3254 487.549835
2053 1651 487.549835
2054 0 487.549835
2055 0 487.549835
2056 3294 487.549835
2057 1657 487.549835
2058 1653 487.549835
2059 3 487.549835
2060 3 487.549835
2061 2 487.549835
2062 0 487.549835
2063 0 487.549835
2096 1648 487.549835
2097 1624 487.549835
2098 1660 487.549835
2099 0 487.549835
2100 0 487.549835
2101 1670 487.549835
2102 1648 487.549835
2103 0 487.549835
2104 1690 487.549835
2105 1647 487.549835
2106 1556 487.549835
2107 3261 487.549835
2108 1714 487.549835
2109 1681 487.549835
2110 0 487.549835
2111 1 487.549835
896 0 487.952942
897 3312 487.952942
898 1642 487.952942
899 0 487.952942
900 1 487.952942
901 0 487.952942
902 1637 487.952942
903 0 487.952942
904 0 487.952942
905 0 487.952942
906 1 487.952942
907 0 487.952942
908 0 487.952942
909 3271 487.952942
910 1661 487.952942
911 1640 487.952942
944 3310 487.952942
945 1639 487.952942
946 1701 487.952942
947 3296 487.952942
948 0 487.952942
949 0 487.952942
950 1 487.952942
951 1628 487.952942
952 1593 487.952942
953 1689 487.952942
954 1663 487.952942
955 0 487.952942
956 1 487.952942
957 1661 487.952942
958 1617 487.952942
959 0 487.952942
32 1659 489.631042
33 1 489.631042
34 0 489.631042
35 0 489.631042
36 1662 489.631042
37 0 489.631042
38 1659 489.631042
39 0 489.631042
40 1710 489.631042
41 1643 489.631042
42 0 489.631042
43 1601 489.631042
44 3329 489.631042
45 3369 489.631042
46 0 489.631042
47 0 489.631042
80 1650 489.631042
81 1668 489.631042
82 0 489.631042
83 1640 489.631042
84 1668 489.631042
85 0 489.631042
86 0 489.631042
87 1630 489.631042
88 4 489.631042
89 1627 489.631042
90 1679 489.631042
91 1675 489.631042
92 1 489.631042
93 18 489.631042
94 1616 489.631042
95 1625 489.631042
672 1638 489.029175
673 0 489.029175
674 0 489.029175
675 1588 489.029175
676 1644 489.029175
677 3363 489.029175
678 1650 489.029175
679 0 489.029175
680 0 489.029175
681 1665 489.029175
682 1650 489.029175
683 0 489.029175
684 1563 489.029175
685 0 489.029175
686 1 489.029175
687 3273 489.029175
720 0 489.029175
721 1636 489.029175
722 1662 489.029175
723 0 489.029175
724 0 489.029175
725 0 489.029175
726 3324 489.029175
727 1666 489.029175
728 0 489.029175
729 0 489.029175
730 0 489.029175
731 1674 489.029175
732 1605 489.029175
733 1634 489.029175
734 4 489.029175
735 3337 489.029175
1760 1651 493.693695
1761 1 493.693695
1762 3333 493.693695
1763 1668 493.693695
1764 0 493.693695
1765 1 493.693695
1766 1654 493.693695
1767 3233 493.693695
1768 1 493.693695
1769 2 493.693695
1770 0 493.693695
1771 0 493.693695
1772 1632 493.693695
1773 1 493.693695
1774 1648 493.693695
1775 2 493.693695
1808 0 493.693695
1809 1633 493.693695
1810 1603 493.693695
1811 0 493.693695
1812 0 493.693695
1813 0 493.693695
1814 3322 493.693695
1815 2 493.693695
1816 1628 493.693695
1817 0 493.693695
1818 0 493.693695
1819 1556 493.693695
1820 3276 493.693695
1821 1674 493.693695
1822 0 493.693695
1823 3255 493.693695
2224 0 493.349091
2225 1665 493.349091
2226 1642 493.349091
2227 3255 493.349091
2228 1665 493.349091
2229 1668 493.349091
2230 6 493.349091
2231 1670 493.349091
2232 1629 493.349091
2233 2 493.349091
2234 0 493.349091
2235 2 493.349091
2236 1 493.349091
2237 0 493.349091
2238 2 493.349091
2239 3268 493.349091
2272 3278 493.349091
2273 3198 493.349091
2274 0 493.349091
2275 0 493.349091
2276 1639 493.349091
2277 0 493.349091
2278 2 493.349091
2279 0 493.349091
2280 3317 493.349091
2281 1674 493.349091
2282 0 493.349091
2283 1 493.349091
2284 0 493.349091
2285 1 493.349091
2286 1 493.349091
2287 1646 493.349091
208 0 496.089752
209 1620 496.089752
210 1635 496.089752
211 0 496.089752
212 1671 496.089752
213 0 496.089752
214 0 496.089752
215 0 496.089752
216 0 496.089752
217 1631 496.089752
218 1657 496.089752
219 1705 496.089752
220 1 496.089752
221 0 496.089752
222 1582 496.089752
223 1604 496.089752
256 0 496.089752
257 3286 496.089752
258 0 496.089752
259 3305 496.089752
260 1605 496.089752
261 3324 496.089752
262 1642 496.089752
263 1684 496.089752
264 1694 496.089752
265 0 496.089752
266 0 496.089752
267 1575 496.089752
268 1629 496.089752
269 1 496.089752
270 1638 496.089752
271 1 496.089752
880 0 496.280487
881 0 496.280487
882 0 496.280487
883 4 496.280487
884 3297 496.280487
885 1696 496.280487
886 1653 496.280487
887 1670 496.280487
888 0 496.280487
889 1 496.280487
890 1652 496.280487
891 3282 496.280487
892 3276 496.280487
893 0 496.280487
894 1649 496.280487
895 0 496.280487
928 1619 496.280487
929 5 496.280487
930 0 496.280487
931 0 496.280487
932 12 496.280487
933 1637 496.280487
934 0 496.280487
935 0 496.280487
936 3351 496.280487
937 0 496.280487
938 0 496.280487
939 3303 496.280487
940 1628 496.280487
941 1 496.280487
942 1631 496.280487
943 0 496.280487
1376 0 498.930481
1377 1614 498.930481
1378 1 498.930481
1379 0 498.930481
1380 1619 498.930481
1381 0 498.930481
1382 1 498.930481
1383 0 498.930481
1384 0 498.930481
1385 3358 498.930481
1386 0 498.930481
1387 0 498.930481
1388 3305 498.930481
1389 1656 498.930481
1390 3325 498.930481
1391 1610 498.930481
1424 1 498.930481
1425 1677 498.930481
1426 2 498.930481
1427 3 498.930481
1428 1681 498.930481
1429 1651 498.930481
1430 0 498.930481
1431 1638 498.930481
1432 1685 498.930481
1433 2 498.930481
1434 1696 498.930481
1435 0 498.930481
1436 3324 498.930481
1437 1597 498.930481
1438 0 498.930481
1439 0 498.930481
480 3 498.105499
481 1700 498.105499
482 1626 498.105499
483 1660 498.105499
484 3352 498.105499
485 0 498.105499
486 1671 498.105499
487 1664 498.105499
488 1563 498.105499
489 1 498.105499
490 1672 498.105499
491 1669 498.105499
492 1678 498.105499
493 1632 498.105499
494 3292 498.105499
495 0 498.105499
528 3296 498.105499
529 11 498.105499
530 3295 498.105499
531 0 498.105499
532 1 498.105499
533 1589 498.105499
534 3299 498.105499
535 0 498.105499
536 0 498.105499
537 0 498.105499
538 2 498.105499
539 1659 498.105499
540 0 498.105499
541 1657 498.105499
542 1689 498.105499
543 0 498.105499
1568 0 500.739807
1569 1652 500.739807
1570 1 500.739807
1571 1625 500.739807
1572 1664 500.739807
1573 1695 500.739807
1574 1630 500.739807
1575 3237 500.739807
1576 0 500.739807
1577 0 500.739807
1578 0 500.739807
1579 1589 500.739807
1580 1668 500.739807
1581 0 500.739807
1582 1629 500.739807
1583 1624 500.739807
1616 1624 500.739807
1617 1669 500.739807
1618 4 500.739807
1619 0 500.739807
1620 1663 500.739807
1621 1650 500.739807
1622 1600 500.739807
1623 1691 500.739807
1624 0 500.739807
1625 1611 500.739807
1626 0 500.739807
1627 0 500.739807
1628 1640 500.739807
1629 1679 500.739807
1630 0 500.739807
1631 1670 500.739807
2032 1574 501.332062
2033 3294 501.332062
2034 1705 501.332062
2035 1688 501.332062
2036 4918 501.332062
2037 2 501.332062
2038 1 501.332062
2039 1639 501.332062
2040 0 501.332062
2041 1658 501.332062
2042 1663 501.332062
