thread nodes time
2032 0 220.996094
2033 1631 220.996094
2034 0 220.996094
2035 0 220.996094
2036 1658 220.996094
2037 0 220.996094
2038 2 220.996094
2039 2 220.996094
2040 1663 220.996094
2041 0 220.996094
2042 0 220.996094
2043 0 220.996094
2044 1652 220.996094
2045 0 220.996094
2046 0 220.996094
2047 1673 220.996094
2080 0 220.996094
2081 0 220.996094
2082 0 220.996094
2083 0 220.996094
2084 1643 220.996094
2085 0 220.996094
2086 1 220.996094
2087 2 220.996094
2088 0 220.996094
2089 0 220.996094
2090 1 220.996094
2091 1 220.996094
2092 1656 220.996094
2093 2 220.996094
2094 0 220.996094
2095 0 220.996094
1920 0 268.269348
1921 1600 268.269348
1922 1609 268.269348
1923 0 268.269348
1924 1603 268.269348
1925 2 268.269348
1926 0 268.269348
1927 3 268.269348
1928 2 268.269348
1929 1658 268.269348
1930 1 268.269348
1931 0 268.269348
1932 2 268.269348
1933 1 268.269348
1934 1656 268.269348
1935 0 268.269348
1968 1665 268.269348
1969 0 268.269348
1970 0 268.269348
1971 3280 268.269348
1972 0 268.269348
1973 0 268.269348
1974 0 268.269348
1975 4 268.269348
1976 1 268.269348
1977 1 268.269348
1978 0 268.269348
1979 1698 268.269348
1980 0 268.269348
1981 1 268.269348
1982 0 268.269348
1983 0 268.269348
2016 0 274.952087
2017 1 274.952087
2018 2 274.952087
2019 0 274.952087
2020 0 274.952087
2021 0 274.952087
2022 0 274.952087
2023 1 274.952087
2024 1666 274.952087
2025 1 274.952087
2026 0 274.952087
2027 3 274.952087
2028 1632 274.952087
2029 0 274.952087
2030 1527 274.952087
2031 0 274.952087
2064 1577 274.952087
2065 0 274.952087
2066 1675 274.952087
2067 3302 274.952087
2068 2 274.952087
2069 1 274.952087
2070 1652 274.952087
2071 1613 274.952087
2072 0 274.952087
2073 0 274.952087
2074 0 274.952087
2075 0 274.952087
2076 0 274.952087
2077 0 274.952087
2078 1 274.952087
2079 0 274.952087
1568 0 296.772675
1569 2 296.772675
1570 1649 296.772675
1571 1617 296.772675
1572 0 296.772675
1573 0 296.772675
1574 0 296.772675
1575 0 296.772675
1576 4 296.772675
1577 0 296.772675
1578 0 296.772675
1579 0 296.772675
1580 0 296.772675
1581 1 296.772675
1582 1606 296.772675
1583 0 296.772675
1616 0 296.772675
1617 1 296.772675
1618 0 296.772675
1619 6 296.772675
1620 5029 296.772675
1621 3315 296.772675
1622 1610 296.772675
1623 1615 296.772675
1624 0 296.772675
1625 0 296.772675
1626 0 296.772675
1627 11 296.772675
1628 0 296.772675
1629 0 296.772675
1630 0 296.772675
1631 0 296.772675
2144 1603 310.808838
2145 0 310.808838
2146 0 310.808838
2147 0 310.808838
2148 0 310.808838
2149 0 310.808838
2150 1638 310.808838
2151 1614 310.808838
2152 3288 310.808838
2153 0 310.808838
2154 1 310.808838
2155 1629 310.808838
2156 0 310.808838
2157 1 310.808838
2158 1652 310.808838
2159 1 310.808838
2192 3322 310.808838
2193 0 310.808838
2194 0 310.808838
2195 1712 310.808838
2196 0 310.808838
2197 1 310.808838
2198 0 310.808838
2199 0 310.808838
2200 1 310.808838
2201 0 310.808838
2202 1 310.808838
2203 0 310.808838
2204 0 310.808838
2205 1 310.808838
2206 1666 310.808838
2207 0 310.808838
1056 0 336.728119
1057 1 336.728119
1058 1658 336.728119
1059 0 336.728119
1060 1638 336.728119
1061 3344 336.728119
1062 0 336.728119
